選舉區,登記日期,姓名,推薦之政黨,備註
新竹縣,115/09/02,鄭朝方,民主進步黨,
新竹縣,115/09/02,朱定瑀,無,
新竹縣,115/09/03,徐欣瑩,中國國民黨,
苗栗縣,115/09/02,陳品安,民主進步黨,
苗栗縣,115/09/03,鍾東錦,中國國民黨,
彰化縣,115/08/31,陳重嘉,無,
彰化縣,115/09/02,陳素月,民主進步黨,
彰化縣,115/09/03,邱建富,無,
彰化縣,115/09/03,魏平政,中國國民黨,
南投縣,115/08/31,温世政,民主進步黨,
南投縣,115/09/02,許淑華,中國國民黨,
雲林縣,115/08/31,吳炳輝,無,
雲林縣,115/09/03,張嘉郡,中國國民黨,
雲林縣,115/09/04,劉建國,民主進步黨,
雲林縣,115/09/04,林佳瑜,無,
嘉義縣,115/09/03,吳品叡,無,
嘉義縣,115/09/03,蔡易餘,民主進步黨,
屏東縣,115/09/02,蘇清泉,中國國民黨,
屏東縣,115/09/03,周春米,民主進步黨,
宜蘭縣,115/08/31,陳宏毅,無,
宜蘭縣,115/09/01,吳宗憲,中國國民黨,
宜蘭縣,115/09/01,劉燦輝,無,
宜蘭縣,115/09/02,林國漳,民主進步黨,
宜蘭縣,115/09/04,楊鉯婷,無,
花蓮縣,115/09/03,游淑貞,中國國民黨,
花蓮縣,115/09/03,張峻,無,
花蓮縣,115/09/03,魏嘉賢,無,
花蓮縣,115/09/03,羅佩秦,台灣工黨,
臺東縣,115/09/02,陳瑩,民主進步黨,
臺東縣,115/09/02,吳秀華,中國國民黨,
臺東縣,115/09/04,李吳穎智,無,
臺東縣,115/09/04,王志偉,無,
澎湖縣,115/09/02,吳淑瑾,民主進步黨,
澎湖縣,115/09/03,陳振中,中國國民黨,
澎湖縣,115/09/03,周倪安,台聯黨,
澎湖縣,115/09/03,許智富,無,
澎湖縣,115/09/03,陳盡川,無,
澎湖縣,115/09/04,葉竹林,無,
金門縣,115/08/31,洪和成,無,
金門縣,115/09/02,李文良,無,
金門縣,115/09/02,黃世團,無,
金門縣,115/09/02,陳玉珍,中國國民黨,
金門縣,115/09/02,張國威,無,
金門縣,115/09/03,梁文韜,無,
金門縣,115/09/04,張火木,無,
連江縣,115/08/31,王忠銘,中國國民黨,
連江縣,115/09/02,曹爾元,無,
基隆市,115/09/01,謝國樑,中國國民黨,
基隆市,115/09/01,魏造文,無,
基隆市,115/09/02,童子瑋,民主進步黨,
新竹市,115/09/02,高虹安,無,
新竹市,115/09/03,莊競程,民主進步黨,
新竹市,115/09/04,何志勇,無,
嘉義市,115/08/31,黃宏成台灣 阿成世界偉 人財神總統,無,
嘉義市,115/09/01,陳愷璜,無,
嘉義市,115/09/02,張啓楷,台灣民眾黨,
嘉義市,115/09/02,王美惠,民主進步黨,
嘉義市,115/09/03,王義成,無,
