選舉區,登記日期,姓名,推薦之政黨,備註
新竹縣竹北市,115/08/31,李貞秀,無,
新竹縣竹北市,115/09/03,邱臣遠,台灣民眾黨,
新竹縣竹北市,115/09/03,吳旭智,中國國民黨,
新竹縣竹北市,115/09/03,曾聖凱,民主進步黨,
新竹縣竹東鎮,115/08/31,郭遠彰,無,
新竹縣竹東鎮,115/09/03,范國威,中國國民黨,
新竹縣新埔鎮,115/09/02,陳英樓,中國國民黨,
新竹縣新埔鎮,115/09/03,楊興和,無,
新竹縣關西鎮,115/09/02,陳光彩,無,
新竹縣關西鎮,115/09/03,劉德樑,中國國民黨,
新竹縣湖口鄉,115/09/01,吳淑君,中國國民黨,
新竹縣湖口鄉,115/09/03,陳美仁,無,
新竹縣新豐鄉,115/09/02,徐煒傑,無,
新竹縣新豐鄉,115/09/02,鄭旭凱,中國國民黨,
新竹縣新豐鄉,115/09/02,何智達,無,
新竹縣芎林鄉,115/09/02,陳星宏,中國國民黨,
新竹縣橫山鄉,115/09/02,古鋓明,中國國民黨,
新竹縣橫山鄉,115/09/04,朱陳源,中國國民黨,
新竹縣北埔鄉,115/09/02,徐鏡明,中國國民黨,
新竹縣北埔鄉,115/09/03,湯惠鈴,無,
新竹縣北埔鄉,115/09/04,吳聲煒,無,
新竹縣北埔鄉,115/09/04,楊葵琇,無,
新竹縣寶山鄉,115/08/31,鍾金霖,無,
新竹縣寶山鄉,115/09/02,邱振瑋,中國國民黨,
新竹縣峨眉鄉,115/09/02,江寧增,中國國民黨,
新竹縣峨眉鄉,115/09/02,温修汝,中國國民黨,
新竹縣峨眉鄉,115/09/03,林文秀,無,
新竹縣峨眉鄉,115/09/03,陳壬龍,無,
新竹縣尖石鄉,115/08/31,楊士龍,無,
新竹縣尖石鄉,115/08/31,江彩華,無,
新竹縣尖石鄉,115/09/02,劉建民,中國國民黨,
新竹縣五峰鄉,115/09/04,秋維書,中國國民黨,
苗栗縣苗栗市,115/09/02,禹耀東,無,
苗栗縣苗栗市,115/09/02,余文忠,中國國民黨,
苗栗縣苗栗市,115/09/02,楊燕梅,無,
苗栗縣苗栗市,115/09/02,林月琴,民主進步黨,
苗栗縣苑裡鎮,115/09/02,張顧礫,無,
苗栗縣苑裡鎮,115/09/03,劉育育,無,
苗栗縣苑裡鎮,115/09/04,陳宏欣,無,
苗栗縣通霄鎮,115/08/31,巫恒昭,無,
苗栗縣通霄鎮,115/09/03,張可欣,無,
苗栗縣竹南鎮,115/09/02,葉忠倫,無,
苗栗縣竹南鎮,115/09/04,何秀綿,無,
苗栗縣頭份市,115/09/03,曾玟學,無,
苗栗縣頭份市,115/09/04,徐功凡,中國國民黨,
苗栗縣後龍鎮,115/08/31,謝清輝,無,
苗栗縣卓蘭鎮,115/08/31,詹秉憲,無,
苗栗縣卓蘭鎮,115/09/03,陳春暖,民主進步黨,
苗栗縣大湖鄉,115/09/02,黃惠琴,無,
苗栗縣大湖鄉,115/09/02,謝見德,無,
苗栗縣公館鄉,115/09/04,葉美惠,無,
苗栗縣銅鑼鄉,115/08/31,徐裕逢,無,
苗栗縣銅鑼鄉,115/09/02,李瑞廷,中國國民黨,
苗栗縣銅鑼鄉,115/09/03,黃芳椿,中國國民黨,
苗栗縣銅鑼鄉,115/09/04,林九炲,中國國民黨,
苗栗縣南庄鄉,115/09/02,蕭正燕,無,
苗栗縣南庄鄉,115/09/03,邱梓增,無,
苗栗縣頭屋鄉,115/09/03,涂金臺,無,
苗栗縣頭屋鄉,115/09/04,江貴熙,無,
苗栗縣三義鄉,115/08/31,徐文達,中國國民黨,
苗栗縣三義鄉,115/09/02,林盈富,無,
苗栗縣三義鄉,115/09/04,鄭淑如,中國國民黨,
苗栗縣西湖鄉,115/09/02,郭豐文,無,
苗栗縣西湖鄉,115/09/02,古秋雲,中國國民黨,
苗栗縣造橋鄉,115/09/02,古育誌,無,
