選舉區,中國國民黨,勞動黨,民主進步黨,新黨,親民黨,台聯黨,台灣進步黨,時代力量,台灣基進,台灣民眾黨,小民參政歐巴桑聯盟,正神名黨,更生黨,小計,未經政黨推薦,合計,應選名額
嘉義縣第2選舉區,1,0,4,0,0,0,0,0,0,0,0,0,0,5,9,14,8
嘉義縣第3選舉區,2,0,3,0,0,0,0,0,0,0,0,0,0,5,2,7,4
嘉義縣第4選舉區,1,0,3,0,0,0,0,0,0,1,0,0,0,5,3,8,6
嘉義縣第5選舉區,1,0,2,0,0,0,0,0,0,0,0,0,0,3,1,4,3
嘉義縣第6選舉區,1,0,5,0,0,0,0,0,0,0,0,0,0,6,4,10,7
嘉義縣第7選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
屏東縣第1選舉區,6,0,5,0,0,0,0,0,0,1,0,0,0,12,8,20,12
屏東縣第2選舉區,3,0,1,0,0,0,0,0,0,0,0,0,0,4,7,11,8
屏東縣第3選舉區,4,0,4,0,0,0,0,0,0,0,0,0,0,8,6,14,10
屏東縣第4選舉區,2,0,5,0,0,0,0,0,0,0,0,0,0,7,3,10,8
屏東縣第5選舉區,1,0,2,0,0,0,0,0,0,0,0,0,0,3,2,5,4
屏東縣第6選舉區,1,0,2,0,0,0,0,0,0,0,0,0,0,3,1,4,3
屏東縣第7選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
屏東縣第8選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
屏東縣第9選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
屏東縣第10選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
屏東縣第11選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
屏東縣第12選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
屏東縣第13選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
屏東縣第14選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
屏東縣第15選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1
屏東縣第16選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
宜蘭縣第1選舉區,4,0,3,0,0,0,0,1,0,1,0,1,0,10,5,15,7
宜蘭縣第2選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,2
宜蘭縣第3選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3
宜蘭縣第4選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,2
宜蘭縣第5選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2
宜蘭縣第6選舉區,2,1,3,0,0,0,0,0,0,1,0,0,0,7,1,8,5
宜蘭縣第7選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4,3
宜蘭縣第8選舉區,1,0,2,0,0,0,0,0,0,0,0,0,0,3,1,4,4
宜蘭縣第9選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,5,1
宜蘭縣第10選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,2
宜蘭縣第11選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
宜蘭縣第12選舉區,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1
宜蘭縣第13選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
花蓮縣第1選舉區,4,0,3,0,0,0,0,0,0,1,0,0,0,8,7,15,9
花蓮縣第2選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
花蓮縣第3選舉區,5,0,3,0,0,0,0,0,1,0,0,0,0,9,5,14,10
花蓮縣第4選舉區,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3
花蓮縣第5選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4
花蓮縣第6選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2
花蓮縣第7選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
花蓮縣第8選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
花蓮縣第9選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
花蓮縣第10選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
臺東縣第1選舉區,7,0,3,0,0,0,0,0,0,0,0,0,0,10,7,17,10
臺東縣第2選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
臺東縣第3選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2
臺東縣第4選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
臺東縣第5選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
臺東縣第6選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
臺東縣第7選舉區,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,3
臺東縣第8選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1
臺東縣第9選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
臺東縣第10選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
臺東縣第11選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2
臺東縣第12選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
臺東縣第13選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1
臺東縣第14選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
臺東縣第15選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
臺東縣第16選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
澎湖縣第1選舉區,3,0,3,0,0,0,0,0,0,1,0,0,0,7,12,19,11
澎湖縣第2選舉區,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,5,3
澎湖縣第3選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
澎湖縣第4選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
澎湖縣第5選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
澎湖縣第6選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
金門縣第1選舉區,4,0,1,1,0,0,0,0,0,2,0,0,0,8,12,20,10
金門縣第2選舉區,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,7
金門縣第3選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
連江縣第1選舉區,3,0,0,0,0,0,0,0,0,0,0,0,1,4,3,7,5
連江縣第2選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2
連江縣第3選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
連江縣第4選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
基隆市第1選舉區,2,0,2,0,0,0,0,0,0,1,0,0,0,5,3,8,4
基隆市第2選舉區,2,0,2,0,1,0,0,0,0,1,0,0,0,6,3,9,5
基隆市第3選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,5,3
基隆市第4選舉區,3,0,2,0,0,0,0,0,0,1,0,0,0,6,3,9,4
基隆市第5選舉區,4,0,3,0,1,0,0,0,1,1,0,0,0,10,2,12,7
基隆市第6選舉區,1,0,1,0,0,0,1,0,0,0,0,0,0,3,2,5,3
基隆市第7選舉區,1,0,1,0,1,0,0,0,0,0,0,0,0,3,3,6,4
基隆市第8選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
基隆市第9選舉區,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4,1
新竹市第1選舉區,5,0,4,0,0,0,0,1,0,2,0,0,0,12,7,19,12
新竹市第2選舉區,2,0,1,0,0,0,0,0,0,1,0,0,0,4,2,6,4
新竹市第3選舉區,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,3,2
新竹市第4選舉區,4,0,3,0,0,0,0,1,0,1,0,0,0,9,4,13,9
新竹市第5選舉區,2,0,1,0,0,0,0,1,0,1,0,0,0,5,3,8,6
新竹市第6選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
新竹市第7選舉區,1,0,1,0,0,0,0,0,0,1,0,0,0,3,2,5,1
嘉義市第1選舉區,5,0,3,0,0,1,0,0,0,1,1,0,0,11,5,16,10
嘉義市第2選舉區,3,0,4,0,0,0,0,0,0,0,1,0,0,8,13,21,13
總 計,252,5,167,1,4,1,1,8,2,36,2,1,1,481,411,892,538
