選舉區,中國國民黨,勞動黨,民主進步黨,新黨,親民黨,台聯黨,台灣進步黨,時代力量,台灣基進,台灣民眾黨,小民參政歐巴桑聯盟,正神名黨,更生黨,小計,未經政黨推薦,合計,應選名額
新竹縣第1選舉區,2,0,1,0,0,0,0,1,0,0,0,0,0,4,2,6,4
新竹縣第2選舉區,5,0,4,0,0,0,0,1,0,2,0,0,0,12,2,14,9
新竹縣第3選舉區,5,1,2,0,0,0,0,0,0,1,0,0,0,9,2,11,5
新竹縣第4選舉區,2,0,1,0,0,0,0,0,0,1,0,0,0,4,2,6,3
新竹縣第5選舉區,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2
新竹縣第6選舉區,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2
新竹縣第7選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
新竹縣第8選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
新竹縣第9選舉區,4,0,1,0,0,0,0,0,0,1,0,0,0,6,3,9,5
新竹縣第10選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
新竹縣第11選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1
新竹縣第12選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
新竹縣第13選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1
新竹縣第14選舉區,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1
苗栗縣第1選舉區,6,0,2,0,0,0,0,0,0,0,0,0,0,8,7,15,9
苗栗縣第2選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,3
苗栗縣第3選舉區,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,7,5
苗栗縣第4選舉區,4,0,2,0,0,0,0,1,0,1,0,0,0,8,4,12,9
苗栗縣第5選舉區,2,0,2,0,0,0,0,0,0,1,0,0,0,5,7,12,8
苗栗縣第6選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
苗栗縣第7選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
苗栗縣第8選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
彰化縣第1選舉區,5,0,6,0,0,0,0,0,0,1,0,0,0,12,3,15,12
彰化縣第2選舉區,4,0,3,0,0,0,0,0,0,0,0,0,0,7,2,9,7
彰化縣第3選舉區,3,0,3,0,0,0,0,0,0,1,0,0,0,7,3,10,6
彰化縣第4選舉區,5,0,3,0,0,0,0,0,0,1,0,0,0,9,4,13,9
彰化縣第5選舉區,3,0,1,0,0,0,0,0,0,0,0,0,0,4,2,6,5
彰化縣第6選舉區,4,0,2,0,0,0,0,0,0,0,0,0,0,6,0,6,4
彰化縣第7選舉區,3,0,1,0,0,0,0,0,0,0,0,0,0,4,4,8,5
彰化縣第8選舉區,2,0,2,0,0,0,0,0,0,1,0,0,0,5,4,9,5
彰化縣第9選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
彰化縣第10選舉區,3,0,0,0,0,0,0,0,0,1,0,0,0,4,4,8,1
南投縣第1選舉區,3,0,2,0,0,0,0,0,0,1,0,0,0,6,11,17,10
南投縣第2選舉區,2,0,3,0,0,0,0,0,0,0,0,0,0,5,8,13,9
南投縣第3選舉區,3,0,1,0,0,0,0,0,0,0,0,0,0,4,2,6,3
南投縣第4選舉區,2,1,1,0,0,0,0,0,0,0,0,0,0,4,5,9,5
南投縣第5選舉區,3,1,3,0,0,0,0,0,0,0,0,0,0,7,3,10,7
南投縣第6選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
南投縣第7選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
南投縣第8選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
雲林縣第1選舉區,4,0,4,0,0,0,0,1,0,0,0,0,0,9,9,18,10
雲林縣第2選舉區,1,0,2,0,0,0,0,0,0,0,0,0,0,3,6,9,6
雲林縣第3選舉區,0,0,2,0,0,0,0,0,0,1,0,0,0,3,8,11,9
雲林縣第4選舉區,3,0,3,0,0,0,0,0,0,1,0,0,0,7,4,11,6
雲林縣第5選舉區,1,0,2,0,0,0,0,0,0,1,0,0,0,4,6,10,7
雲林縣第6選舉區,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,7,5
雲林縣第7選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
雲林縣第8選舉區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
嘉義縣第1選舉區,2,0,5,0,0,0,0,0,0,0,0,0,0,7,2,9,8
