選舉區,登記日期,姓名,推薦之政黨,備註
臺北市,115/08/31,郭璽,台灣麻將最大黨,
臺北市,115/09/02,沈伯洋,民主進步黨,
臺北市,115/09/02,蕭文乾,臺灣SoR無法黨,
臺北市,115/09/03,唐新民,三勢團結促進聯盟,
臺北市,115/09/04,蔣萬安,中國國民黨,
臺北市,115/09/04,林志成,無,
新北市,115/09/02,蘇巧慧,民主進步黨,
新北市,115/09/04,李四川,中國國民黨,
新北市,115/09/04,蘇輝湟,無,
桃園市,115/09/01,張善政,中國國民黨,
桃園市,115/09/02,黃世杰,民主進步黨,
臺中市,115/09/02,何欣純,民主進步黨,
臺中市,115/09/03,江啟臣,中國國民黨,
臺中市,115/09/03,洪麗華,司法正義黨,
臺南市,115/09/01,謝龍介,中國國民黨,
臺南市,115/09/01,蕭燐洪,臺灣SoR無法黨,
臺南市,115/09/02,葉人文,無,
臺南市,115/09/02,陳亭妃,民主進步黨,
高雄市,115/08/31,張靜,司法改革黨,
高雄市,115/09/02,賴瑞隆,民主進步黨,
高雄市,115/09/02,王肇民,無,
高雄市,115/09/03,柯志恩,中國國民黨,
高雄市,115/09/04,洪方隆,無,
