選舉區,中國國民黨,民主進步黨,三勢團結促進聯盟,司法正義黨,臺灣SoR無法黨,台灣麻將最大黨,司法改革黨,小計,未經政黨推薦,合計,應選名額
臺北市,1,1,1,0,1,1,0,5,1,6,1
新北市,1,1,0,0,0,0,0,2,1,3,1
桃園市,1,1,0,0,0,0,0,2,0,2,1
臺中市,1,1,0,1,0,0,0,3,0,3,1
臺南市,1,1,0,0,1,0,0,3,1,4,1
高雄市,1,1,0,0,0,0,1,3,2,5,1
總 計,6,6,1,1,2,1,1,18,5,23,6
