選舉區,登記日期,姓名,推薦之政黨,備註
新北市烏來區第1選舉區,115/09/02,高建章,無,
新北市烏來區第1選舉區,115/09/02,王家宏,無,
新北市烏來區第1選舉區,115/09/02,王月裡 Amuy‧ Losing,無,
新北市烏來區第1選舉區,115/09/02,李秉華,無,
新北市烏來區第2選舉區,115/09/04,吳承翰,無,
新北市烏來區第2選舉區,115/09/04,溫辰輝,無,
新北市烏來區第2選舉區,115/09/03,沈常福,無,
新北市烏來區第2選舉區,115/09/02,洪葉麗芳,無,
新北市烏來區第2選舉區,115/09/02,呂永豐,無,
新北市烏來區第2選舉區,115/09/02,陳冠志,無,
新北市烏來區第2選舉區,115/09/01,王文炳,無,
新北市烏來區第3選舉區,115/09/02,游再發,無,
新北市烏來區第3選舉區,115/09/02,黃清波,無,
新北市烏來區第4選舉區,115/09/02,陳春櫻,無,
新北市烏來區第4選舉區,115/09/02,蔡成雄,無,
桃園市復興區第1選舉區,115/08/31,王曉貞,無,
桃園市復興區第1選舉區,115/09/02,余文源,無,
桃園市復興區第1選舉區,115/09/02,森長雄,無,
桃園市復興區第1選舉區,115/09/02,楊米豐,無,
桃園市復興區第1選舉區,115/09/02,張興華,無,
桃園市復興區第1選舉區,115/09/02,江衍恒,無,
桃園市復興區第1選舉區,115/09/02,姚俊維,無,
桃園市復興區第1選舉區,115/09/03,楊夢萍,無,
桃園市復興區第2選舉區,115/09/02,余遠山,無,
桃園市復興區第2選舉區,115/09/02,柯玉明,無,
桃園市復興區第2選舉區,115/09/02,高季妍,無,
桃園市復興區第2選舉區,115/09/03,黃義有,無,
桃園市復興區第2選舉區,115/09/03,羅程瑋,無,
桃園市復興區第2選舉區,115/09/04,簡明仁,無,
桃園市復興區第3選舉區,115/08/31,林光榮,無,
桃園市復興區第3選舉區,115/09/01,陳振昌,無,
桃園市復興區第3選舉區,115/09/02,林振德,無,
桃園市復興區第3選舉區,115/09/02,姜清國,無,
桃園市復興區第3選舉區,115/09/03,陳惠陵,無,
桃園市復興區第3選舉區,115/09/04,劉光榮,無,
臺中市和平區第1選舉區,115/08/31,王嘉盛,無,
臺中市和平區第1選舉區,115/09/01,管慧莉,無,
臺中市和平區第1選舉區,115/09/01,蕭有祥,無,
臺中市和平區第1選舉區,115/09/02,徐裕傑,無,
臺中市和平區第1選舉區,115/09/03,陳志勇,無,
臺中市和平區第1選舉區,115/09/03,葛榮正,無,
臺中市和平區第1選舉區,115/09/03,呂寶元,無,
臺中市和平區第1選舉區,115/09/04,陳宥彤,無,
臺中市和平區第2選舉區,115/09/02,黃柏瑞,無,
臺中市和平區第2選舉區,115/09/02,林俊祥,無,
臺中市和平區第2選舉區,115/09/02,陳啟棟,無,
臺中市和平區第2選舉區,115/09/02,楊淑青,無,
臺中市和平區第2選舉區,115/09/03,王子壬,無,
臺中市和平區第2選舉區,115/09/03,陳玉山,無,
臺中市和平區第3選舉區,115/08/31,詹森,無,
臺中市和平區第3選舉區,115/08/31,羅方妏,無,
臺中市和平區第3選舉區,115/09/01,林永富,無,
臺中市和平區第3選舉區,115/09/02,林秀玉,無,
臺中市和平區第3選舉區,115/09/02,蔡睿詮,無,
臺中市和平區第3選舉區,115/09/03,廖昌本,無,
高雄市茂林區第1選舉區,115/08/31,藍建雄,無,
高雄市茂林區第1選舉區,115/09/01,戴吉雄,無,
高雄市茂林區第1選舉區,115/09/01,孫佩馨,無,
高雄市茂林區第1選舉區,115/09/02,江魯金雲 Malereleve· Maabaivi,無,
高雄市茂林區第1選舉區,115/09/03,金泰華,無,
高雄市茂林區第1選舉區,115/09/03,陸富田,無,
高雄市茂林區第2選舉區,115/08/31,蔡英雄 Etage· Lalademge,無,
高雄市茂林區第2選舉區,115/09/01,鄭貴勝,無,
高雄市茂林區第2選舉區,115/09/01,謝曉俊,無,
高雄市茂林區第2選舉區,115/09/02,詹淑靜 Arui· Kadrava,無,
高雄市茂林區第2選舉區,115/09/02,江世平,無,
高雄市桃源區第1選舉區,115/09/01,石永貴,無,
高雄市桃源區第1選舉區,115/09/01,胡益明,無,
高雄市桃源區第1選舉區,115/09/01,伊曼·伊斯理鍛Iman· Islituan,無,
高雄市桃源區第1選舉區,115/09/01,顏明輝,無,
高雄市桃源區第1選舉區,115/09/01,顏莉華,無,
高雄市桃源區第1選舉區,115/09/02,高慕源,無,
高雄市桃源區第1選舉區,115/09/02,呂江玉英,無,
高雄市桃源區第1選舉區,115/09/02,宋玉清,無,
高雄市桃源區第1選舉區,115/09/02,塗朋強,無,
高雄市桃源區第1選舉區,115/09/03,顏文雄,無,
高雄市桃源區第1選舉區,115/09/04,拉瑪達·伊斯瑪哈善 Lamata·Ismahasan,無,
高雄市桃源區第2選舉區,115/09/01,顏清順,無,
高雄市桃源區第2選舉區,115/09/02,陳俊偉,無,
高雄市桃源區第2選舉區,115/09/02,陳良興,無,
高雄市桃源區第2選舉區,115/09/02,高梅玲,無,
高雄市桃源區第2選舉區,115/09/02,柯樹山,無,
高雄市桃源區第2選舉區,115/09/02,陳啟明,無,
高雄市桃源區第2選舉區,115/09/03,賴金龍,無,
高雄市那瑪夏區第1選舉區,115/08/31,盧林秀英,無,
高雄市那瑪夏區第1選舉區,115/09/02,彭孫美雲,無,
高雄市那瑪夏區第1選舉區,115/09/02,翁大勇,無,
高雄市那瑪夏區第1選舉區,115/09/03,林正萍,無,
高雄市那瑪夏區第1選舉區,115/09/03,周浩祥,無,
高雄市那瑪夏區第1選舉區,115/09/04,孫理華,無,
高雄市那瑪夏區第2選舉區,115/09/01,李順德,無,
高雄市那瑪夏區第2選舉區,115/09/02,趙文彬,無,
高雄市那瑪夏區第2選舉區,115/09/02,孫榮和,無,
高雄市那瑪夏區第2選舉區,115/09/03,李惠民,無,
