選舉區,登記日期,姓名,推薦之政黨,備註
新竹縣第1選舉區,115/08/31,陳凱榮,中國國民黨,
新竹縣第1選舉區,115/09/02,王炳漢,中國國民黨,
新竹縣第1選舉區,115/09/03,李雅芬,時代力量,
新竹縣第1選舉區,115/09/04,張珈源,民主進步黨,
新竹縣第1選舉區,115/09/04,陳秀玲,無,
新竹縣第1選舉區,115/09/04,鄭美琴,無,
新竹縣第2選舉區,115/08/31,游雅婷,台灣民眾黨,
新竹縣第2選舉區,115/09/01,歐陽霆,民主進步黨,
新竹縣第2選舉區,115/09/01,邵啟月,民主進步黨,
新竹縣第2選舉區,115/09/02,戴佩如,中國國民黨,
新竹縣第2選舉區,115/09/02,蔡蕥鍹,民主進步黨,
新竹縣第2選舉區,115/09/02,范格菱,民主進步黨,
新竹縣第2選舉區,115/09/02,蔡志環,中國國民黨,
新竹縣第2選舉區,115/09/02,朱健銘,無,
新竹縣第2選舉區,115/09/03,林禹佑,中國國民黨,
新竹縣第2選舉區,115/09/03,張育慈,時代力量,
新竹縣第2選舉區,115/09/03,林碩彥,台灣民眾黨,
新竹縣第2選舉區,115/09/03,杜文中,中國國民黨,
新竹縣第2選舉區,115/09/03,范揚琪,無,
新竹縣第2選舉區,115/09/04,邱靖雅,中國國民黨,
新竹縣第3選舉區,115/08/31,甄克堅,中國國民黨,
新竹縣第3選舉區,115/09/01,余筱菁,民主進步黨,
新竹縣第3選舉區,115/09/01,羅美文,勞動黨,
新竹縣第3選舉區,115/09/02,吳菊花,中國國民黨,
新竹縣第3選舉區,115/09/02,何建樺,民主進步黨,
新竹縣第3選舉區,115/09/02,翁紹軒,無,
新竹縣第3選舉區,115/09/02,賴寶鈺,中國國民黨,
新竹縣第3選舉區,115/09/02,陳栢誠,中國國民黨,
新竹縣第3選舉區,115/09/03,陳岫玫,台灣民眾黨,
新竹縣第3選舉區,115/09/03,楊勝馭,無,
新竹縣第3選舉區,115/09/03,戴翊如,中國國民黨,
新竹縣第4選舉區,115/08/31,徐勝凌,台灣民眾黨,
新竹縣第4選舉區,115/09/02,何昌臨,無,
新竹縣第4選舉區,115/09/02,徐源發,中國國民黨,
新竹縣第4選舉區,115/09/03,張以聖,中國國民黨,
新竹縣第4選舉區,115/09/04,吳傳地,民主進步黨,
新竹縣第4選舉區,115/09/04,林茂青,無,
新竹縣第5選舉區,115/09/02,羅仕琦,中國國民黨,
新竹縣第5選舉區,115/09/02,徐瑜新,中國國民黨,
新竹縣第5選舉區,115/09/04,蔡澄均,無,
新竹縣第6選舉區,115/09/02,黃路加,中國國民黨,
新竹縣第6選舉區,115/09/02,呂宛庭,無,
新竹縣第6選舉區,115/09/02,陳新源,勞動黨,
新竹縣第7選舉區,115/09/02,張良印,中國國民黨,
新竹縣第8選舉區,115/08/31,黃正彪,中國國民黨,
新竹縣第9選舉區,115/08/31,羅俊傑,中國國民黨,
新竹縣第9選舉區,115/08/31,黃豪杰,中國國民黨,
新竹縣第9選舉區,115/09/02,上官秋燕,中國國民黨,
新竹縣第9選舉區,115/09/02,林昭錡,無,
新竹縣第9選舉區,115/09/02,鄭朝鐘,無,
新竹縣第9選舉區,115/09/03,彭余美玲,中國國民黨,
新竹縣第9選舉區,115/09/03,林裙靜,無,
新竹縣第9選舉區,115/09/03,鍾心渝,台灣民眾黨,
新竹縣第9選舉區,115/09/03,楊昌德,民主進步黨,
新竹縣第10選舉區,115/09/02,邱坤桶,中國國民黨,
新竹縣第10選舉區,115/09/03,何時名,無,
新竹縣第11選舉區,115/09/04,王辰翔,中國國民黨,
新竹縣第11選舉區,115/09/04,范文鴻,民主進步黨,
新竹縣第12選舉區,115/09/03,法隆伊佑,無,
新竹縣第12選舉區,115/09/03,林秉君 kaying． kuying． kalang,無,
新竹縣第13選舉區,115/09/01,曾國大 Masaw． Moto,中國國民黨,
新竹縣第13選舉區,115/09/02,羅恩加,無,
新竹縣第13選舉區,115/09/04,林世偉,無,
新竹縣第13選舉區,115/09/04,范經生,無,
新竹縣第13選舉區,115/09/04,高忠正,無,
新竹縣第14選舉區,115/09/02,張雁萍,無,
新竹縣第14選舉區,115/09/02,Laling Yumin,民主進步黨,
新竹縣第14選舉區,115/09/03,張益生,無,
苗栗縣第1選舉區,115/08/31,魏漢相,無,
苗栗縣第1選舉區,115/08/31,林志豪,無,
苗栗縣第1選舉區,115/09/02,彭賢淳,無,
苗栗縣第1選舉區,115/09/02,湯維岳,無,
苗栗縣第1選舉區,115/09/02,楊明燁,中國國民黨,
苗栗縣第1選舉區,115/09/02,曾美露,中國國民黨,
苗栗縣第1選舉區,115/09/02,徐筱菁,民主進步黨,
苗栗縣第1選舉區,115/09/02,黃萬盛,中國國民黨,
苗栗縣第1選舉區,115/09/02,孫素娥,中國國民黨,
苗栗縣第1選舉區,115/09/02,彭晧宇,無,
苗栗縣第1選舉區,115/09/03,呂晟,無,
苗栗縣第1選舉區,115/09/03,巫召清,無,
苗栗縣第1選舉區,115/09/03,許櫻萍,民主進步黨,
苗栗縣第1選舉區,115/09/04,鄭碧玉,中國國民黨,
苗栗縣第1選舉區,115/09/04,張志宇,中國國民黨,
苗栗縣第2選舉區,115/09/02,謝昌年,無,
苗栗縣第2選舉區,115/09/03,黎尚安,中國國民黨,
苗栗縣第2選舉區,115/09/04,羅貴星,民主進步黨,
苗栗縣第3選舉區,115/08/31,翁杰,民主進步黨,
苗栗縣第3選舉區,115/09/02,陳薈茗,無,
苗栗縣第3選舉區,115/09/02,郭汶沂,無,
苗栗縣第3選舉區,115/09/03,王建鑫,無,
苗栗縣第3選舉區,115/09/03,杜文卿,民主進步黨,
苗栗縣第3選舉區,115/09/03,周玉滿,無,
苗栗縣第3選舉區,115/09/04,徐瑞轅,無,
苗栗縣第4選舉區,115/08/31,李文斌,中國國民黨,
苗栗縣第4選舉區,115/08/31,林寶珠,中國國民黨,
苗栗縣第4選舉區,115/08/31,鄭秋風,無,
苗栗縣第4選舉區,115/09/01,陳碧華,無,
苗栗縣第4選舉區,115/09/02,吳翌立,時代力量,
苗栗縣第4選舉區,115/09/02,邱毓興,民主進步黨,
苗栗縣第4選舉區,115/09/02,蔡君婷,台灣民眾黨,
苗栗縣第4選舉區,115/09/02,廖秀紅,中國國民黨,
苗栗縣第4選舉區,115/09/02,吳亭亭,民主進步黨,
苗栗縣第4選舉區,115/09/02,謝美香,無,
苗栗縣第4選舉區,115/09/03,張佳玲,無,
苗栗縣第4選舉區,115/09/04,廖英利,中國國民黨,
苗栗縣第5選舉區,115/08/31,古益弦,無,
苗栗縣第5選舉區,115/09/02,彭茜柔,無,
苗栗縣第5選舉區,115/09/02,陳詩弦,民主進步黨,
苗栗縣第5選舉區,115/09/02,陳光軒,民主進步黨,
苗栗縣第5選舉區,115/09/02,黎煥強,無,
苗栗縣第5選舉區,115/09/02,鍾孟儒,無,
苗栗縣第5選舉區,115/09/03,蕭詠萱,無,
苗栗縣第5選舉區,115/09/03,張淑芬,中國國民黨,
苗栗縣第5選舉區,115/09/03,鄭聚然,中國國民黨,
苗栗縣第5選舉區,115/09/04,温俊勇,無,
苗栗縣第5選舉區,115/09/04,陳永賢,無,
苗栗縣第5選舉區,115/09/04,林志學,台灣民眾黨,
苗栗縣第6選舉區,115/09/02,楊恭林,無,
苗栗縣第6選舉區,115/09/02,詹錦章,無,
苗栗縣第6選舉區,115/09/02,盛瑛,無,
苗栗縣第7選舉區,115/09/02,風志雄,無,
苗栗縣第7選舉區,115/09/03,朱仲一 Kalih． Tahes． Didiyun,無,
苗栗縣第8選舉區,115/09/03,黃茹君 Haking Yumaʼ,無,
苗栗縣第8選舉區,115/09/03,劉美蘭 Iwan． Sigiy,中國國民黨,
彰化縣第1選舉區,115/08/31,莊陞漢,民主進步黨,
彰化縣第1選舉區,115/09/01,許原龍,中國國民黨,
彰化縣第1選舉區,115/09/02,謝宗樺,無,
彰化縣第1選舉區,115/09/02,顧勝敏,中國國民黨,
彰化縣第1選舉區,115/09/02,黃千宴,中國國民黨,
彰化縣第1選舉區,115/09/02,許雅琳,民主進步黨,
彰化縣第1選舉區,115/09/02,林世明,民主進步黨,
彰化縣第1選舉區,115/09/02,白玉如,中國國民黨,
彰化縣第1選舉區,115/09/02,林世賢,民主進步黨,
彰化縣第1選舉區,115/09/02,楊子賢,民主進步黨,
彰化縣第1選舉區,115/09/02,温芝樺,中國國民黨,
彰化縣第1選舉區,115/09/03,黃玉如,無,
彰化縣第1選舉區,115/09/04,吳韋達,台灣民眾黨,
彰化縣第1選舉區,115/09/04,陳銌銌,無,
彰化縣第1選舉區,115/09/04,李成濟,民主進步黨,
彰化縣第2選舉區,115/08/31,林英嘉,無,
彰化縣第2選舉區,115/09/02,蔡匡威,民主進步黨,
彰化縣第2選舉區,115/09/02,許志宏,中國國民黨,
彰化縣第2選舉區,115/09/02,蔣煙燈,民主進步黨,
彰化縣第2選舉區,115/09/02,凃淑媚,中國國民黨,
彰化縣第2選舉區,115/09/02,楊竣程,中國國民黨,
彰化縣第2選舉區,115/09/02,藍駿宇,民主進步黨,
彰化縣第2選舉區,115/09/03,王信筌,中國國民黨,
彰化縣第2選舉區,115/09/03,郭燕陵,無,
彰化縣第3選舉區,115/09/02,蕭文雄,民主進步黨,
彰化縣第3選舉區,115/09/03,王國忠,無,
彰化縣第3選舉區,115/09/03,林宗翰,無,
彰化縣第3選舉區,115/09/03,曾煥燁,民主進步黨,
彰化縣第3選舉區,115/09/03,林小琪,中國國民黨,
彰化縣第3選舉區,115/09/03,周君綾,民主進步黨,
彰化縣第3選舉區,115/09/03,鍾雅茹,中國國民黨,
彰化縣第3選舉區,115/09/04,林明鴻,無,
彰化縣第3選舉區,115/09/04,蘇智弦,台灣民眾黨,
彰化縣第3選舉區,115/09/04,柯振杯,中國國民黨,
彰化縣第4選舉區,115/09/01,賴澤民,民主進步黨,
彰化縣第4選舉區,115/09/02,張欣倩,民主進步黨,
彰化縣第4選舉區,115/09/02,詹雅婷,無,
彰化縣第4選舉區,115/09/02,張愉婕,中國國民黨,
彰化縣第4選舉區,115/09/02,張詠勝,中國國民黨,
彰化縣第4選舉區,115/09/02,黃正盛,中國國民黨,
彰化縣第4選舉區,115/09/02,陳秋蓉,民主進步黨,
彰化縣第4選舉區,115/09/02,張雪如,台灣民眾黨,
彰化縣第4選舉區,115/09/02,游筑凱,中國國民黨,
彰化縣第4選舉區,115/09/02,張詩怡,無,
彰化縣第4選舉區,115/09/03,劉惠娟,無,
彰化縣第4選舉區,115/09/03,林俊毅,無,
彰化縣第4選舉區,115/09/04,曹嘉豪,中國國民黨,
彰化縣第5選舉區,115/09/01,楊仁彬,中國國民黨,
彰化縣第5選舉區,115/09/02,陳玉姫,中國國民黨,
彰化縣第5選舉區,115/09/02,張春洋,無,
彰化縣第5選舉區,115/09/02,劉珊伶,民主進步黨,
彰化縣第5選舉區,115/09/02,黃佳惠,中國國民黨,
彰化縣第5選舉區,115/09/03,許文萍,無,
彰化縣第6選舉區,115/08/31,許書維,民主進步黨,
彰化縣第6選舉區,115/09/02,蕭妤亘,中國國民黨,
彰化縣第6選舉區,115/09/02,彭世和,中國國民黨,
彰化縣第6選舉區,115/09/02,蕭岳倫,中國國民黨,
彰化縣第6選舉區,115/09/02,詹琬惠,民主進步黨,
彰化縣第6選舉區,115/09/03,鄭俊雄,中國國民黨,
彰化縣第7選舉區,115/08/31,陳世凱,無,
彰化縣第7選舉區,115/08/31,江熊一楓,無,
彰化縣第7選舉區,115/09/02,鄭朝元,無,
彰化縣第7選舉區,115/09/02,杜懿彩,無,
彰化縣第7選舉區,115/09/02,劉淑芳,中國國民黨,
彰化縣第7選舉區,115/09/02,李俊諭,民主進步黨,
彰化縣第7選舉區,115/09/02,李浩誠,中國國民黨,
彰化縣第7選舉區,115/09/03,謝典霖,中國國民黨,
彰化縣第8選舉區,115/08/31,謝淑如,無,
彰化縣第8選舉區,115/09/01,吳淑娟,無,
彰化縣第8選舉區,115/09/01,洪子超,民主進步黨,
彰化縣第8選舉區,115/09/01,洪雅婷,台灣民眾黨,
彰化縣第8選舉區,115/09/02,張國棟,中國國民黨,
彰化縣第8選舉區,115/09/02,曾温泉,中國國民黨,
彰化縣第8選舉區,115/09/02,洪騰明,民主進步黨,
彰化縣第8選舉區,115/09/02,洪健興,無,
彰化縣第8選舉區,115/09/03,黄淑儀,無,
彰化縣第9選舉區,115/09/02,陳榮妹,中國國民黨,
彰化縣第9選舉區,115/09/03,陳明義,無,
彰化縣第10選舉區,115/09/01,金凱傑 Ilia． Nangavulan,中國國民黨,
彰化縣第10選舉區,115/09/01,高世鴻,無,
彰化縣第10選舉區,115/09/02,吳秋祿,中國國民黨,
彰化縣第10選舉區,115/09/03,王昌智 Mac Lunai,無,
彰化縣第10選舉區,115/09/03,張瑋婷,中國國民黨,
彰化縣第10選舉區,115/09/03,謝秀美,無,
彰化縣第10選舉區,115/09/03,肯當．迪洛 安,無,
彰化縣第10選舉區,115/09/04,高采翎,台灣民眾黨,
南投縣第1選舉區,115/08/31,陳聰鑑,無,
南投縣第1選舉區,115/08/31,林儒暘,中國國民黨,
南投縣第1選舉區,115/08/31,許纘融,無,
南投縣第1選舉區,115/08/31,洪志杰,無,
南投縣第1選舉區,115/09/02,林憶如,中國國民黨,
南投縣第1選舉區,115/09/02,張錫淵,無,
南投縣第1選舉區,115/09/02,張婉慈,無,
南投縣第1選舉區,115/09/02,賴燕雪,民主進步黨,
