選舉區,中國國民黨,勞動黨,民主進步黨,新黨,台灣綠黨,親民黨,台聯黨,永久和平自然法,天宙和平統一家庭黨,時代力量,社會民主黨,台灣基進,左翼聯盟,台灣民眾黨,小民參政歐巴桑聯盟,司法改革黨,愛民黨,小計,未經政黨推薦,合計,應選名額
臺南市第6選舉區,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,6
臺南市第7選舉區,4,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,2,12,7
臺南市第8選舉區,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,3,11,6
臺南市第9選舉區,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,9,6
臺南市第10選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,5
臺南市第11選舉區,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,9,6
臺南市第12選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
臺南市第13選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
高雄市第1選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,3
高雄市第2選舉區,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3
高雄市第3選舉區,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,5
高雄市第4選舉區,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,9
高雄市第5選舉區,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,5
高雄市第6選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4
高雄市第7選舉區,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,12,8
高雄市第8選舉區,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,5
高雄市第9選舉區,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,8
高雄市第10選舉區,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,4,13,7
高雄市第11選舉區,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4
高雄市第12選舉區,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1
高雄市第13選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
高雄市第14選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
高雄市第15選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
總 計,201,5,188,3,3,7,4,1,1,3,1,3,1,28,5,3,1,458,152,610,381
