選舉區,中國國民黨,勞動黨,民主進步黨,新黨,台灣綠黨,親民黨,台聯黨,永久和平自然法,天宙和平統一家庭黨,時代力量,社會民主黨,台灣基進,左翼聯盟,台灣民眾黨,小民參政歐巴桑聯盟,司法改革黨,愛民黨,小計,未經政黨推薦,合計,應選名額
臺北市第1選舉區,5,0,5,1,0,0,0,0,1,1,0,0,0,1,0,0,0,14,6,20,12
臺北市第2選舉區,5,0,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,13,0,13,9
臺北市第3選舉區,5,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,2,13,9
臺北市第4選舉區,4,1,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,12,2,14,8
臺北市第5選舉區,4,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,4,14,8
臺北市第6選舉區,8,0,4,1,0,0,0,0,0,1,1,0,1,1,0,0,0,17,2,19,13
臺北市第7選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
臺北市第8選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
新北市第1選舉區,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4
新北市第2選舉區,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,5
新北市第3選舉區,3,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,2,12,7
新北市第4選舉區,3,0,6,0,0,1,1,0,0,0,0,0,0,1,1,0,0,13,4,17,9
新北市第5選舉區,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12,0,12,9
新北市第6選舉區,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,9,6
新北市第7選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,3
新北市第8選舉區,4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,12,9
新北市第9選舉區,4,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,9,5
新北市第10選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
新北市第11選舉區,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,9,4
新北市第12選舉區,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4
新北市第13選舉區,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,6,2
桃園市第1選舉區,6,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14,6,20,12
桃園市第2選舉區,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,1,9,5
桃園市第3選舉區,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,8,5
桃園市第4選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,4
桃園市第5選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2
桃園市第6選舉區,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,5,2
桃園市第7選舉區,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,11
桃園市第8選舉區,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,10,6
桃園市第9選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4
桃園市第10選舉區,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,3
桃園市第11選舉區,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
桃園市第12選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2
桃園市第13選舉區,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4
桃園市第14選舉區,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4
臺中市第1選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3
臺中市第2選舉區,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,7,5
臺中市第3選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,5
臺中市第4選舉區,3,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,2,9,5
臺中市第5選舉區,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,10,6
臺中市第6選舉區,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,6,5
臺中市第7選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,4
臺中市第8選舉區,4,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,4,13,7
臺中市第9選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3
臺中市第10選舉區,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3
臺中市第11選舉區,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,4
臺中市第12選舉區,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,7,4
臺中市第13選舉區,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,3,10,6
臺中市第14選舉區,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
臺中市第15選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
臺中市第16選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
臺中市第17選舉區,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1
臺南市第1選舉區,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,8,5
臺南市第2選舉區,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,5
臺南市第3選舉區,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3
臺南市第4選舉區,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
臺南市第5選舉區,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,5
