選舉區,登記日期,姓名,推薦之政黨,備註
臺北市第1選舉區,115/08/31,謝閔弘,時代力量,
臺北市第1選舉區,115/08/31,李文,無,
臺北市第1選舉區,115/09/02,陳彥廷,無,
臺北市第1選舉區,115/09/02,鍾佩玲,民主進步黨,
臺北市第1選舉區,115/09/02,紀建漢,無,
臺北市第1選舉區,115/09/02,陳賢蔚,民主進步黨,
臺北市第1選舉區,115/09/02,林世宗,民主進步黨,
臺北市第1選舉區,115/09/02,黃瀞瑩,台灣民眾黨,
臺北市第1選舉區,115/09/02,林揚庭,中國國民黨,
臺北市第1選舉區,115/09/02,陳慈慧,民主進步黨,
臺北市第1選舉區,115/09/03,陳重文,無,
臺北市第1選舉區,115/09/03,陳怡潔,無,
臺北市第1選舉區,115/09/03,林杏兒,中國國民黨,
臺北市第1選舉區,115/09/03,張斯綱,中國國民黨,
臺北市第1選舉區,115/09/03,賴苡任,中國國民黨,
臺北市第1選舉區,115/09/03,汪志冰,中國國民黨,
臺北市第1選舉區,115/09/03,劉致妤,無,
臺北市第1選舉區,115/09/04,林延鳳,民主進步黨,
臺北市第1選舉區,115/09/04,林聖峰,天宙和平統一家庭黨,
臺北市第1選舉區,115/09/04,侯漢廷,新黨,
臺北市第2選舉區,115/08/31,吳欣岱,台灣基進,
臺北市第2選舉區,115/08/31,李明賢,中國國民黨,
臺北市第2選舉區,115/09/01,陳冠安,中國國民黨,
臺北市第2選舉區,115/09/01,高嘉瑜,民主進步黨,
臺北市第2選舉區,115/09/02,王孝維,民主進步黨,
臺北市第2選舉區,115/09/02,游淑慧,中國國民黨,
臺北市第2選舉區,115/09/02,何孟樺,民主進步黨,
臺北市第2選舉區,115/09/02,陳宥丞,台灣民眾黨,
臺北市第2選舉區,115/09/02,何恕懷,新黨,
臺北市第2選舉區,115/09/03,闕枚莎,中國國民黨,
臺北市第2選舉區,115/09/04,陳又新,民主進步黨,
臺北市第2選舉區,115/09/04,吳世正,中國國民黨,
臺北市第2選舉區,115/09/04,黃啟彬,永久和平自然法,
臺北市第3選舉區,115/08/31,鄧樂強,台灣基進,
臺北市第3選舉區,115/09/02,詹為元,中國國民黨,
臺北市第3選舉區,115/09/02,張文潔,民主進步黨,
臺北市第3選舉區,115/09/02,郭凡,民主進步黨,
臺北市第3選舉區,115/09/02,李明璇,中國國民黨,
臺北市第3選舉區,115/09/02,秦慧珠,中國國民黨,
臺北市第3選舉區,115/09/02,洪健益,民主進步黨,
臺北市第3選舉區,115/09/02,戴錫欽,中國國民黨,
臺北市第3選舉區,115/09/02,許甫,台灣民眾黨,
臺北市第3選舉區,115/09/03,左曉明,無,
臺北市第3選舉區,115/09/04,許淑華,民主進步黨,
臺北市第3選舉區,115/09/04,林柏勛,無,
臺北市第3選舉區,115/09/04,許原榮,中國國民黨,
臺北市第4選舉區,115/08/31,朱政騏,無,
臺北市第4選舉區,115/09/01,顏若芳,民主進步黨,
臺北市第4選舉區,115/09/01,賴俊翰,民主進步黨,
臺北市第4選舉區,115/09/01,熊羿,勞動黨,
臺北市第4選舉區,115/09/02,李易儒,中國國民黨,
臺北市第4選舉區,115/09/02,陳炳甫,中國國民黨,
臺北市第4選舉區,115/09/02,林子揚,民主進步黨,
臺北市第4選舉區,115/09/02,柳采葳,中國國民黨,
臺北市第4選舉區,115/09/02,林亮君,民主進步黨,
臺北市第4選舉區,115/09/03,葉林傳,中國國民黨,
臺北市第4選舉區,115/09/03,黃麗香,台聯黨,
臺北市第4選舉區,115/09/03,林珍羽,台灣民眾黨,
臺北市第4選舉區,115/09/03,陳怡君,無,
臺北市第4選舉區,115/09/04,李惠暄,小民參政歐巴桑聯盟,
臺北市第5選舉區,115/08/31,張銘祐,民主進步黨,
臺北市第5選舉區,115/08/31,吳志剛,中國國民黨,
臺北市第5選舉區,115/08/31,鍾小平,中國國民黨,
臺北市第5選舉區,115/09/01,陳力新,無,
臺北市第5選舉區,115/09/02,王振庭,台灣綠黨,
臺北市第5選舉區,115/09/02,洪婉臻,民主進步黨,
臺北市第5選舉區,115/09/02,吳怡萱,台灣民眾黨,
臺北市第5選舉區,115/09/03,應佳妤,無,
臺北市第5選舉區,115/09/03,劉耀仁,民主進步黨,
臺北市第5選舉區,115/09/03,張延廷,中國國民黨,
臺北市第5選舉區,115/09/03,徐立信,無,
臺北市第5選舉區,115/09/04,馬郁雯,民主進步黨,
臺北市第5選舉區,115/09/04,郭昭巖,中國國民黨,
臺北市第5選舉區,115/09/04,譚傳紹,無,
臺北市第6選舉區,115/08/31,李道翔,左翼聯盟,
臺北市第6選舉區,115/08/31,陳峙穎,時代力量,
臺北市第6選舉區,115/09/01,李奇峯,無,
臺北市第6選舉區,115/09/02,簡舒培,民主進步黨,
臺北市第6選舉區,115/09/02,楊植斗,中國國民黨,
臺北市第6選舉區,115/09/02,陳聖文,民主進步黨,
臺北市第6選舉區,115/09/02,游智彬,新黨,
臺北市第6選舉區,115/09/02,耿葳,中國國民黨,
臺北市第6選舉區,115/09/02,徐弘庭,中國國民黨,
臺北市第6選舉區,115/09/02,苗博雅,社會民主黨,
臺北市第6選舉區,115/09/02,陳錦祥,中國國民黨,
臺北市第6選舉區,115/09/03,李柏毅,中國國民黨,
臺北市第6選舉區,115/09/03,鍾沛君,中國國民黨,
臺北市第6選舉區,115/09/03,劉品妡,民主進步黨,
臺北市第6選舉區,115/09/03,張志豪,台灣民眾黨,
臺北市第6選舉區,115/09/04,曾獻瑩,中國國民黨,
臺北市第6選舉區,115/09/04,王欣儀,中國國民黨,
臺北市第6選舉區,115/09/04,王閔生,民主進步黨,
臺北市第6選舉區,115/09/04,張維學,無,
臺北市第7選舉區,115/08/31,李芳儒,中國國民黨,
臺北市第7選舉區,115/09/03,林筱薇 Icyang Tamana,無,
臺北市第8選舉區,115/09/02,林家豪,民主進步黨,
臺北市第8選舉區,115/09/02,李傅鈺婷,中國國民黨,
臺北市第8選舉區,115/09/04,孔垂崢 Haisul Islituan,無,
新北市第1選舉區,115/09/02,鄭宇恩,民主進步黨,
新北市第1選舉區,115/09/02,陳偉杰,中國國民黨,
新北市第1選舉區,115/09/02,游明諺,民主進步黨,
新北市第1選舉區,115/09/03,陳家琪,中國國民黨,
新北市第1選舉區,115/09/04,呂鈞鴻,中國國民黨,
新北市第2選舉區,115/08/31,戴翎育,民主進步黨,
新北市第2選舉區,115/09/01,張昭隆,無,
新北市第2選舉區,115/09/02,蔡淑君,中國國民黨,
新北市第2選舉區,115/09/02,鄭丞宏,中國國民黨,
新北市第2選舉區,115/09/02,陳明義,中國國民黨,
新北市第2選舉區,115/09/03,蔡佩呈,中國國民黨,
新北市第2選舉區,115/09/03,李宇翔,民主進步黨,
新北市第3選舉區,115/08/31,翁震州,民主進步黨,
新北市第3選舉區,115/09/01,簡麗花,無,
新北市第3選舉區,115/09/02,林秉宥,民主進步黨,
新北市第3選舉區,115/09/02,蔣根煌,中國國民黨,
新北市第3選舉區,115/09/02,蔡健棠,中國國民黨,
新北市第3選舉區,115/09/02,吳奕萱,民主進步黨,
新北市第3選舉區,115/09/02,陳岱吟,民主進步黨,
新北市第3選舉區,115/09/02,王珮宇,中國國民黨,
新北市第3選舉區,115/09/02,陳世軒,台灣民眾黨,
新北市第3選舉區,115/09/02,甘崇緯,台灣綠黨,
新北市第3選舉區,115/09/03,蕭夙玲,親民黨,
新北市第3選舉區,115/09/03,陳茂嘉,無,
新北市第4選舉區,115/08/31,李翁月娥,無,
新北市第4選舉區,115/08/31,黃桂蘭,中國國民黨,
新北市第4選舉區,115/08/31,彭佳芸,民主進步黨,
新北市第4選舉區,115/09/01,陳彥廷,台灣民眾黨,
新北市第4選舉區,115/09/02,王威元,中國國民黨,
新北市第4選舉區,115/09/02,李余典,民主進步黨,
新北市第4選舉區,115/09/02,陳俊維,民主進步黨,
新北市第4選舉區,115/09/02,李倩萍,民主進步黨,
新北市第4選舉區,115/09/02,董俊良,無,
新北市第4選舉區,115/09/02,顏蔚慈,民主進步黨,
新北市第4選舉區,115/09/02,邱婷蔚,民主進步黨,
新北市第4選舉區,115/09/02,陳東雲,無,
新北市第4選舉區,115/09/03,蔡政呈,中國國民黨,
新北市第4選舉區,115/09/03,劉成謙,親民黨,
新北市第4選舉區,115/09/03,陳宛毓,小民參政歐巴桑聯盟,
新北市第4選舉區,115/09/03,許宏平,台聯黨,
新北市第4選舉區,115/09/03,蕭告,無,
新北市第5選舉區,115/08/31,李昆穎,民主進步黨,
新北市第5選舉區,115/09/01,劉美芳,中國國民黨,
新北市第5選舉區,115/09/01,戴瑋姗,民主進步黨,
新北市第5選舉區,115/09/01,黃淑君,民主進步黨,
新北市第5選舉區,115/09/01,鄧凱勛,中國國民黨,
新北市第5選舉區,115/09/01,陳俊諺,民主進步黨,
新北市第5選舉區,115/09/02,山田摩衣,民主進步黨,
新北市第5選舉區,115/09/02,林國春,中國國民黨,
新北市第5選舉區,115/09/02,曾煥嘉,中國國民黨,
新北市第5選舉區,115/09/03,林子宇,台灣民眾黨,
新北市第5選舉區,115/09/03,周韋翰,中國國民黨,
新北市第5選舉區,115/09/03,黃淑珍,司法改革黨,
新北市第6選舉區,115/08/31,張維倩,民主進步黨,
新北市第6選舉區,115/09/01,張志豪,民主進步黨,
新北市第6選舉區,115/09/01,金瑞龍,中國國民黨,
新北市第6選舉區,115/09/01,林達,無,
新北市第6選舉區,115/09/02,陳怡君,台灣民眾黨,
新北市第6選舉區,115/09/02,張嘉玲,民主進步黨,
新北市第6選舉區,115/09/02,邱烽堯,中國國民黨,
新北市第6選舉區,115/09/02,游輝宂,中國國民黨,
新北市第6選舉區,115/09/03,陳錦錠,中國國民黨,
新北市第7選舉區,115/09/01,羅文崇,民主進步黨,
新北市第7選舉區,115/09/01,陳以樂,中國國民黨,
新北市第7選舉區,115/09/02,許昭興,民主進步黨,
新北市第7選舉區,115/09/02,陳鴻源,中國國民黨,
