選舉區,登記日期,姓名,推薦之政黨,備註
新竹縣竹北市第1選舉區,115/08/31,張美珠,無,
新竹縣竹北市第1選舉區,115/08/31,曾玉菱,民主進步黨,
新竹縣竹北市第1選舉區,115/08/31,黃明雄,無,
新竹縣竹北市第1選舉區,115/08/31,林祺烜,無,
新竹縣竹北市第1選舉區,115/09/01,林瑞德,台灣民眾黨,
新竹縣竹北市第1選舉區,115/09/01,李心然,台灣民眾黨,
新竹縣竹北市第1選舉區,115/09/02,陳禹同,民主進步黨,
新竹縣竹北市第1選舉區,115/09/02,彭竣志,無,
新竹縣竹北市第1選舉區,115/09/02,范揚翰,無,
新竹縣竹北市第1選舉區,115/09/02,彭俊烟,無,
新竹縣竹北市第1選舉區,115/09/02,鄭鈞鴻,中國國民黨,
新竹縣竹北市第1選舉區,115/09/02,林維洲,無,
新竹縣竹北市第1選舉區,115/09/02,范光禮,無,
新竹縣竹北市第1選舉區,115/09/02,楊士學,民主進步黨,
新竹縣竹北市第1選舉區,115/09/03,張益豪,無,
新竹縣竹北市第1選舉區,115/09/03,林祖誼,民主進步黨,
新竹縣竹北市第1選舉區,115/09/03,黃郁雯,中國國民黨,
新竹縣竹北市第1選舉區,115/09/03,洪瑞瑾,小民參政歐巴桑聯盟,
新竹縣竹北市第1選舉區,115/09/04,崔紀梅 Umi Sayta,無,
新竹縣竹北市第1選舉區,115/09/04,余政達,無,
新竹縣竹北市第2選舉區,115/08/31,曾宗彬,無,
新竹縣竹北市第2選舉區,115/08/31,徐水鐘,無,
新竹縣竹北市第2選舉區,115/08/31,莊雅綺,中國國民黨,
新竹縣竹北市第2選舉區,115/09/02,鄭建村,無,
新竹縣竹北市第2選舉區,115/09/02,曾美琴,中國國民黨,
新竹縣竹北市第2選舉區,115/09/03,何宜芯,無,
新竹縣竹北市第2選舉區,115/09/03,曾敬維,無,
新竹縣竹北市第2選舉區,115/09/03,謝育豪,民主進步黨,
新竹縣竹北市第2選舉區,115/09/03,許育綸,時代力量,
新竹縣竹北市第2選舉區,115/09/03,劉文軒,台灣民眾黨,
新竹縣竹北市第2選舉區,115/09/04,林啟賢,無,
新竹縣竹北市第2選舉區,115/09/04,陳冠宇,無,
新竹縣竹北市第2選舉區,115/09/04,江宥德,無,
新竹縣竹北市第3選舉區,115/09/02,陳威男,無,
新竹縣竹北市第3選舉區,115/09/02,葉信輝,無,
新竹縣竹北市第3選舉區,115/09/04,吳勝隆,無,
新竹縣竹北市第4選舉區,115/09/02,蔡文苑,無,
新竹縣竹北市第4選舉區,115/09/03,曾祐宸,無,
新竹縣竹北市第4選舉區,115/09/03,黃莉,無,
