選舉區,中國國民黨,民主進步黨,台聯黨,台灣工黨,台灣民眾黨,小計,未經政黨推薦,合計,應選名額
新竹縣,1,1,0,0,0,2,1,3,1
苗栗縣,1,1,0,0,0,2,0,2,1
彰化縣,1,1,0,0,0,2,2,4,1
南投縣,1,1,0,0,0,2,0,2,1
雲林縣,1,1,0,0,0,2,2,4,1
嘉義縣,0,1,0,0,0,1,1,2,1
屏東縣,1,1,0,0,0,2,0,2,1
宜蘭縣,1,1,0,0,0,2,3,5,1
花蓮縣,1,0,0,1,0,2,2,4,1
臺東縣,1,1,0,0,0,2,2,4,1
澎湖縣,1,1,1,0,0,3,3,6,1
金門縣,1,0,0,0,0,1,6,7,1
連江縣,1,0,0,0,0,1,1,2,1
基隆市,1,1,0,0,0,2,1,3,1
新竹市,0,1,0,0,0,1,2,3,1
嘉義市,0,1,0,0,1,2,3,5,1
總 計,13,13,1,1,1,29,29,58,16
